name|version|usedBy|authors|license|package site
Apache.Avro|1.7.7.2|AccountsService, CertificateProvisionService, EmailService, Gator, IDXService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, KeyEncryptionService, KeyManagementService, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Welly|http://www.apache.org/licenses/LICENSE-2.0.html|http://avro.apache.org/
AutoMapper|5.2.0|AccountsService, Common, IndexCreationService, JWTService, OpenIdRPService, SchemaService, UserManagement|Jimmy Bogard|https://github.com/AutoMapper/AutoMapper/blob/master/LICENSE.txt|http://automapper.org/
Castle.Core|3.3.3|AccountsService, CertificateProvisionService, EmailService, Gator, IDXService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, KeyEncryptionService, KeyManagementService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Castle Project Contributors|http://www.apache.org/licenses/LICENSE-2.0.html|http://www.castleproject.org/
Confluent.RestClient|1.0.0.35|AccountsService, CertificateProvisionService, EmailService, IDXService, ImageService, ImportFriendsService, IndexCreationService, KeyEncryptionService, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SchemaService, ScreenSetsService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Joseph Jeganathan||https://github.com/josephjeganathan/Confluent.RestClient
DataAnnotationsValidator|1.0.0.1|AccountsService, CertificateProvisionService, Common, EmailService, Gator, IDXService, ImageService, IndexCreationService, Infrastructure, JWTService, KeyEncryptionService, KeyManagementService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteGroupService, SocialService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Mike Reust|https://github.com/reustmd/DataAnnotationsValidatorRecursive/blob/master/License.md|https://github.com/reustmd/DataAnnotationsValidatorRecursive
FluentAssertions|4.19.2|AccountsService, CertificateProvisionService, Common, ImageService, IndexCreationService, Infrastructure, microdot, NotificationsService, OpenIdRPService, PartnersService, PolicyService, RBAService, SchemaService, ScreenSetsService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Dennis Doomen|https://github.com/dennisdoomen/FluentAssertions/blob/master/LICENSE|http://www.fluentassertions.com/
JetBrains.Annotations|10.4.0|AccountsService, EmailService, Gator, IndexCreationService, OpenIdRPService, SchemaService, SocialService, TFAProvidersService, UserIdService, UserManagement|JetBrains|https://raw.githubusercontent.com/JetBrains/ExternalAnnotations/master/LICENSE.md|https://www.jetbrains.com/help/resharper/10.0/Code_Analysis__Code_Annotations.html
log4net|2.0.8|AccountsService, CertificateProvisionService, EmailService, Gator, IDXService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, KeyEncryptionService, KeyManagementService, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|The Apache Software Foundation|http://logging.apache.org/log4net/license.html|http://logging.apache.org/log4net/
Metrics.NET|0.4.8|AccountsService, CertificateProvisionService, Common, EmailService, Gator, IDXService, ImageService, ImportFriendsService, IndexCreationService, Infrastructure, JWTService, KeyEncryptionService, KeyManagementService, microdot, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SamlSpService, SchemaService, ScreenSetsService, SessionService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|iulian.margarintescu,  The Recognos Metrics.NET Team|https://github.com/Recognos/Metrics.NET/blob/master/LICENSE|https://github.com/Recognos/Metrics.NET
Microsoft.AspNet.WebApi.Client|5.2.3|AccountsService, CertificateProvisionService, Common, EmailService, Gator, IDXService, ImageService, ImportFriendsService, IndexCreationService, KeyEncryptionService, NotificationsService, OpenIdProviderService, OpenIdRPService, PartnersService, PasswordService, PolicyService, RBAService, ReportsService, RequestService, SchemaService, ScreenSetsService, SiteConfigService, SiteConfigService\HierarchyService, SiteConfigService\SetSiteConfigService, SiteConfigService\SiteConfigGetterService, SiteGroupService, SitesService, SocialService, SubscriptionService, TFAProvidersService, TFAService, TokenService, UserIdService, UserManagement, USMService|Microsoft|http://www.microsoft.com/web/webpi/eula/net_library_eula_ENU.htm|http://www.asp.net/web-api
